6-0|8-0 14.5 (8-0 9-0 6-0)
6-0|9-0 10.35 (9-0 6-0)
1-0|6-0 23.22 (6-0 9-0 8-0 2-0 1-0)
1-0|5-0 24.61 (5-0 9-0 8-0 2-0 1-0)
1-0|8-0 8.72 (8-0 2-0 1-0)
1-0|7-0 35.84 (7-0 6-0 9-0 8-0 2-0 1-0)
1-0|9-0 12.87 (9-0 8-0 2-0 1-0)
6-0|7-0 12.62 (7-0 6-0)
1-0|2-0 3.55 (2-0 1-0)
1-0|3-0 29.69 (3-0 5-0 9-0 8-0 2-0 1-0)
1-0|4-0 26.78 (4-0 6-0 9-0 8-0 2-0 1-0)
4-0|5-0 25.65 (5-0 9-0 6-0 4-0)
4-0|9-0 13.91 (9-0 6-0 4-0)
4-0|8-0 18.06 (8-0 9-0 6-0 4-0)
4-0|7-0 16.18 (7-0 6-0 4-0)
4-0|6-0 3.56 (6-0 4-0)
0-0|8-0 42.17 (8-0 9-0 6-0 7-0 0-0)
0-0|9-0 38.02 (9-0 6-0 7-0 0-0)
0-0|6-0 27.67 (6-0 7-0 0-0)
0-0|7-0 15.05 (7-0 0-0)
7-0|9-0 22.97 (9-0 6-0 7-0)
5-0|6-0 22.09 (6-0 9-0 5-0)
5-0|8-0 15.89 (8-0 9-0 5-0)
7-0|8-0 27.12 (8-0 9-0 6-0 7-0)
5-0|7-0 34.71 (7-0 6-0 9-0 5-0)
5-0|9-0 11.74 (9-0 5-0)
2-0|9-0 9.32 (9-0 8-0 2-0)
2-0|8-0 5.17 (8-0 2-0)
2-0|7-0 32.29 (7-0 6-0 9-0 8-0 2-0)
2-0|6-0 19.67 (6-0 9-0 8-0 2-0)
2-0|5-0 21.06 (5-0 9-0 8-0 2-0)
2-0|4-0 23.23 (4-0 6-0 9-0 8-0 2-0)
3-0|8-0 20.97 (8-0 9-0 5-0 3-0)
2-0|3-0 26.14 (3-0 5-0 9-0 8-0 2-0)
3-0|7-0 39.79 (7-0 6-0 9-0 5-0 3-0)
3-0|9-0 16.82 (9-0 5-0 3-0)
3-0|4-0 30.73 (4-0 6-0 9-0 5-0 3-0)
3-0|6-0 27.17 (6-0 9-0 5-0 3-0)
3-0|5-0 5.08 (5-0 3-0)
0-0|1-0 50.89 (1-0 2-0 8-0 9-0 6-0 7-0 0-0)
0-0|4-0 31.23 (4-0 6-0 7-0 0-0)
0-0|5-0 49.76 (5-0 9-0 6-0 7-0 0-0)
0-0|2-0 47.34 (2-0 8-0 9-0 6-0 7-0 0-0)
8-0|9-0 4.15 (9-0 8-0)
0-0|3-0 54.84 (3-0 5-0 9-0 6-0 7-0 0-0)
