cycle	rlat	clat	klat	rhop	chop	khop	hopcat	latcat
0	23.22	46.7	108.16	5	3	6	3	2
1	5.17	34.17	66.51	2	3	5	3	1
2	30.73	104.71	30.73	5	4	2	1	2
3	26.14	33.24	26.14	5	3	2	1	2
4	13.91	22.21	115.69	3	3	4	3	1
5	27.67	34.79	78.97	3	3	4	3	2
6	24.61	24.61	24.61	5	2	2	3	2
7	18.06	69.14	62.04	4	4	4	3	2
8	25.65	25.65	25.65	4	2	2	1	2
9	10.35	18.65	112.13	2	3	4	2	1
10	15.89	33.33	43.71	3	3	3	2	1
11	3.56	42.9	3.56	2	3	2	2	1
12	14.5	55.42	14.5	3	4	2	2	1
13	18.06	69.14	18.06	4	4	2	3	2
14	31.23	31.23	31.23	4	2	2	3	2
15	18.06	18.06	18.06	4	2	2	3	2
16	16.82	35.46	44.64	3	3	3	3	1
17	54.84	73.48	61.96	6	3	3	2	3
18	12.87	12.87	12.87	4	2	2	2	1
19	20.97	38.41	48.79	4	3	3	3	2
20	12.62	12.62	12.62	2	2	2	1	1
21	22.09	68.55	22.09	3	4	2	1	2
22	31.23	31.23	31.23	4	2	2	3	2
23	29.69	29.69	57.51	6	2	3	2	2
24	10.35	18.65	10.35	2	3	2	2	1
25	22.97	31.27	31.27	3	3	3	2	2
26	47.34	47.34	54.44	6	2	3	2	3
27	54.84	73.48	54.84	6	3	2	2	3
28	38.02	38.02	38.02	4	2	2	1	3
29	27.67	34.79	27.67	3	3	2	3	2
30	3.55	3.55	3.55	2	2	2	1	1
31	27.67	34.79	27.67	3	3	2	3	2
32	12.62	66.96	12.62	2	4	2	1	1
33	29.69	29.69	29.69	6	2	2	2	2
34	50.89	50.89	50.89	7	3	2	1	3
35	18.06	18.06	18.06	4	2	2	3	2
36	30.73	30.73	30.73	5	2	2	1	2
37	15.05	47.41	40.29	2	4	3	2	1
38	16.18	70.52	89.16	3	3	4	2	1
39	8.72	8.72	37.72	3	2	3	2	1
40	24.61	24.61	24.61	5	2	2	3	2
41	19.67	19.67	44.91	4	2	3	3	2
42	20.97	66.91	20.97	4	3	2	3	2
43	16.82	71.06	16.82	3	4	2	3	1
44	27.12	68.04	27.12	4	4	2	1	2
45	34.71	44.87	41.83	4	3	3	2	3
46	23.22	46.7	23.22	5	3	2	3	2
47	42.17	42.17	42.17	5	2	3	2	3
48	3.55	3.55	3.55	2	2	2	1	1
49	3.56	3.56	3.56	2	2	2	2	1
50	23.22	46.7	23.22	5	3	2	3	2
