sc	rl	cl	kl	rh	ch	kh
0	81.22	246.18	10656.46	16	8	238
1	58.64	151.48	4079.78	16	4	89
2	39.95	185.35	11238.19	9	5	248
3	36.96	44.22	10377.28	11	3	246
4	59.17	267.79	5900.81	15	7	134
5	63.28	157.1	412.94	13	4	9
6	79.85	298.87	79.85	18	7	2
7	50.01	314.45	4118.47	12	6	94
8	42.38	261.76	7797.22	11	7	171
9	57.6	132.72	6944.14	13	5	156
10	27.44	261.4	4661.08	11	7	107
11	56.91	134.23	2908.71	11	5	67
12	35.03	35.03	35.03	8	2	2
13	37.83	162.75	4899.81	10	5	118
14	43.58	326.76	43.58	12	8	2
15	8.77	165.55	8.77	6	5	2
16	32.31	232.65	2273.61	9	7	53
17	23.07	66.43	23.07	6	3	2
18	28.64	213.22	1782.02	10	6	38
19	63.89	164.99	1038.39	13	4	26
20	44.09	205.59	125.45	12	5	4
21	37.55	285.93	37.55	9	9	2
22	41.45	161.03	4823.53	12	5	116
23	39.6	181.1	3413.74	11	5	89
24	31.48	178.94	969.86	9	5	24
25	64.89	278.83	4525.91	19	6	108
26	52.87	168.01	4454.63	11	4	105
27	55.62	160.24	787.96	11	5	19
28	38.12	308.88	51.12	8	7	3
29	48.26	128.4	1747.74	14	6	37
30	35.4	283.28	226.98	8	8	8
31	44.96	271.98	4889.42	12	7	113
32	45.28	251.54	971.46	9	7	20
33	45.13	121.61	100.85	10	4	4
34	59.52	313.72	59.52	12	7	2
35	45.86	230.78	684.24	10	7	18
36	58.39	342.67	171.13	12	8	5
37	62.51	200.29	1954.81	13	6	45
38	8.06	12.56	189.26	6	3	6
39	80.27	169.09	1061.11	19	6	23
40	45.26	159.98	3960.3	13	5	95
41	60.47	259.77	140.11	15	5	5
42	16.77	237.43	866.79	11	7	23
43	48.65	213.41	2898.91	11	5	65
44	49.02	233.48	50.6	12	6	3
45	65.9	323.46	197.72	14	8	5
46	56.33	436.89	2243.77	15	8	49
47	70.99	96.53	2101.77	13	3	49
48	65.26	308.12	464.32	12	7	10
49	16.87	189.09	1303.07	9	5	33
50	64.45	279.33	675.03	15	7	17
51	57.94	177.02	1397.06	17	5	35
52	64.49	90.39	2350.27	13	4	66
53	36.41	154.87	1761.89	10	6	40
54	63.63	270.17	183.47	16	6	6
55	26.32	146.9	73.62	10	3	3
56	24.92	60.62	729.98	10	3	17
57	57.88	156.44	3033.0	9	4	70
58	51.04	197.82	2311.12	11	6	51
59	59.84	282.78	59.84	12	7	2
60	36.5	204.48	2867.38	15	6	64
61	67.19	262.43	113.65	17	6	3
62	69.33	259.41	1530.21	15	6	33
